FULFILLMENT,SKU,QUANTITY
US,ALG-101 35,0
US,ALG-101 36,0
US,ALG-101 37,0
US,ALG-101 38,0
US,ALG-101 39,0
US,ALG-101 40,0
US,ALG-101 41,0
US,ALG-101 42,0
US,ALG-137 34,0
US,ALG-137 35,4
US,ALG-137 36,16
US,ALG-137 37,39
US,ALG-137 38,71
US,ALG-137 39,87
US,ALG-137 40,70
US,ALG-137 41,46
US,ALG-137 42,4
US,ALG-137 43,0
US,ALG-138 34,0
US,ALG-138 35,10
US,ALG-138 36,9
US,ALG-138 37,42
US,ALG-138 38,85
US,ALG-138 39,77
US,ALG-138 40,67
US,ALG-138 41,28
US,ALG-138 42,16
US,ALG-138 43,0
US,ALG-139 34,0
US,ALG-139 35,0
US,ALG-139 36,0
US,ALG-139 37,0
US,ALG-139 38,0
US,ALG-139 39,0
US,ALG-139 40,0
US,ALG-139 41,0
US,ALG-139 42,0
US,ALG-139 43,0
US,ALG-147 35,0
US,ALG-147 36,0
US,ALG-147 37,25
US,ALG-147 38,26
US,ALG-147 39,16
US,ALG-147 40,2
US,ALG-147 41,7
US,ALG-147 42,0
US,ALG-147 43,0
US,ALG-148 35,0
US,ALG-148 36,0
US,ALG-148 37,0
US,ALG-148 38,0
US,ALG-148 39,0
US,ALG-148 40,0
US,ALG-148 41,0
US,ALG-148 42,0
US,ALG-148 43,0
US,ALG-205 35,0
US,ALG-205 36,0
US,ALG-205 37,0
US,ALG-205 38,0
US,ALG-205 39,0
US,ALG-205 40,0
US,ALG-205 41,0
US,ALG-205 42,0
US,ALG-231 34,0
US,ALG-231 35,6
US,ALG-231 36,5
US,ALG-231 37,7
US,ALG-231 38,47
US,ALG-231 39,71
US,ALG-231 40,0
US,ALG-231 41,0
US,ALG-231 42,0
US,ALG-231 43,0
US,ALG-233 34,0
US,ALG-233 35,0
US,ALG-233 36,0
US,ALG-233 37,0
US,ALG-233 38,0
US,ALG-233 39,0
US,ALG-233 40,0
US,ALG-233 41,0
US,ALG-233 42,0
US,ALG-233 43,0
US,ALG-324 34,0
US,ALG-324 35,3
US,ALG-324 36,23
US,ALG-324 37,13
US,ALG-324 38,34
US,ALG-324 39,44
US,ALG-324 40,0
US,ALG-324 41,3
US,ALG-324 42,0
US,ALG-324 43,0
US,ALG-344 34,0
US,ALG-344 35,0
US,ALG-344 36,0
US,ALG-344 37,0
US,ALG-344 38,0
US,ALG-344 39,0
US,ALG-344 40,0
US,ALG-344 41,0
US,ALG-344 42,0
US,ALG-344 43,0
US,ALG-345 34,0
US,ALG-345 35,0
US,ALG-345 36,0
US,ALG-345 37,0
US,ALG-345 38,0
US,ALG-345 39,0
US,ALG-345 40,0
US,ALG-345 41,0
US,ALG-345 42,0
US,ALG-345 43,0
US,ALG-372 34,0
US,ALG-372 35,3
US,ALG-372 36,0
US,ALG-372 37,4
US,ALG-372 38,25
US,ALG-372 39,33
US,ALG-372 40,16
US,ALG-372 41,6
US,ALG-372 42,0
US,ALG-372 43,0
US,ALG-422 34,0
US,ALG-422 35,20
US,ALG-422 36,61
US,ALG-422 37,139
US,ALG-422 38,174
US,ALG-422 39,199
US,ALG-422 40,123
US,ALG-422 41,77
US,ALG-422 42,10
US,ALG-422 43,0
US,ALG-425 34,0
US,ALG-425 35,14
US,ALG-425 36,31
US,ALG-425 37,54
US,ALG-425 38,77
US,ALG-425 39,101
US,ALG-425 40,67
US,ALG-425 41,34
