#,Item Number,Code Style,Style,Code Color,Color,Code Size,Size,UPC Code,Inventory Stock,Wholesale Price,Retail Price,Custom Product ID,Discontinuos,ETA
1,ABB-531-35,ABB,Alegria Abbi Professional,531,Black Embossed Rose,35,35,693016268924,0,22.1,24.81,,,1/1/1970
2,ABB-531-36,ABB,Alegria Abbi Professional,531,Black Embossed Rose,36,36,693016268931,0,22.1,24.81,,,1/1/1970
3,ABB-531-37,ABB,Alegria Abbi Professional,531,Black Embossed Rose,37,37,693016268948,0,22.1,24.81,,,1/1/1970
4,ABB-531-38,ABB,Alegria Abbi Professional,531,Black Embossed Rose,38,38,693016268955,0,22.1,24.81,,,1/1/1970
5,ABB-531-39,ABB,Alegria Abbi Professional,531,Black Embossed Rose,39,39,693016268962,0,22.1,24.81,,,1/1/1970
6,ABB-531-40,ABB,Alegria Abbi Professional,531,Black Embossed Rose,40,40,693016268979,0,22.1,24.81,,,1/1/1970
7,ABB-531-41,ABB,Alegria Abbi Professional,531,Black Embossed Rose,41,41,693016268986,0,22.1,24.81,,,1/1/1970
8,ABB-531-42,ABB,Alegria Abbi Professional,531,Black Embossed Rose,42,42,693016268993,0,22.1,24.81,,,1/1/1970
9,ABB-601-35,ABB,Alegria Abbi Professional,601,Black Napa Leather,35,35,693016268849,0,22.1,24.81,,,1/1/1970
10,ABB-601-36,ABB,Alegria Abbi Professional,601,Black Napa Leather,36,36,693016268856,0,22.1,24.81,,,1/1/1970
11,ABB-601-37,ABB,Alegria Abbi Professional,601,Black Napa Leather,37,37,693016268863,0,22.1,24.81,,,1/1/1970
12,ABB-601-38,ABB,Alegria Abbi Professional,601,Black Napa Leather,38,38,693016268870,0,22.1,24.81,,,1/1/1970
13,ABB-601-39,ABB,Alegria Abbi Professional,601,Black Napa Leather,39,39,693016268887,0,22.1,24.81,,,1/1/1970
14,ABB-601-40,ABB,Alegria Abbi Professional,601,Black Napa Leather,40,40,693016268894,0,22.1,24.81,,,1/1/1970
15,ABB-601-41,ABB,Alegria Abbi Professional,601,Black Napa Leather,41,41,693016268900,0,22.1,24.81,,,1/1/1970
16,ABB-601-42,ABB,Alegria Abbi Professional,601,Black Napa Leather,42,42,693016268917,0,22.1,24.81,,,1/1/1970
17,ABB-101-35,ABB,Alegria Abbi Professional,101,Black Patent,35,35,693016269082,0,22.1,24.81,,,1/1/1970
18,ABB-101-36,ABB,Alegria Abbi Professional,101,Black Patent,36,36,693016269099,0,22.1,24.81,,,1/1/1970
19,ABB-101-37,ABB,Alegria Abbi Professional,101,Black Patent,37,37,693016269105,0,22.1,24.81,,,1/1/1970
20,ABB-101-38,ABB,Alegria Abbi Professional,101,Black Patent,38,38,693016269112,0,22.1,24.81,,,1/1/1970
21,ABB-101-39,ABB,Alegria Abbi Professional,101,Black Patent,39,39,693016269129,0,22.1,24.81,,,1/1/1970
22,ABB-101-40,ABB,Alegria Abbi Professional,101,Black Patent,40,40,693016269136,0,22.1,24.81,,,1/1/1970
23,ABB-101-41,ABB,Alegria Abbi Professional,101,Black Patent,41,41,693016269143,0,22.1,24.81,,,1/1/1970
24,ABB-101-42,ABB,Alegria Abbi Professional,101,Black Patent,42,42,693016269150,0,22.1,24.81,,,1/1/1970
25,ABB-504-35,ABB,Alegria Abbi Professional,504,Black Rose,35,35,693016269327,0,22.1,24.81,,,1/1/1970
26,ABB-504-36,ABB,Alegria Abbi Professional,504,Black Rose,36,36,693016269334,0,22.1,24.81,,,1/1/1970
27,ABB-504-37,ABB,Alegria Abbi Professional,504,Black Rose,37,37,693016269341,0,22.1,24.81,,,1/1/1970
28,ABB-504-38,ABB,Alegria Abbi Professional,504,Black Rose,38,38,693016269358,0,22.1,24.81,,,1/1/1970
29,ABB-504-39,ABB,Alegria Abbi Professional,504,Black Rose,39,39,693016269365,0,22.1,24.81,,,1/1/1970
30,ABB-504-40,ABB,Alegria Abbi Professional,504,Black Rose,40,40,693016269372,0,22.1,24.81,,,1/1/1970
31,ABB-504-41,ABB,Alegria Abbi Professional,504,Black Rose,41,41,693016269389,0,22.1,24.81,,,1/1/1970
32,ABB-504-42,ABB,Alegria Abbi Professional,504,Black Rose,42,42,693016269396,0,22.1,24.81,,,1/1/1970
33,ABB-532-35,ABB,Alegria Abbi Professional,532,Brown Embossed Rose,35,35,693016269006,0,22.1,24.81,,,1/1/1970
