S/O,S/O DATE,CUSTOMER ID,SHIP TO,SHIPPING ADDRESS ,SHIPPING ADDRESS LINE 2,SHIPPING CITY,SHIPPING STATE,SHIPPING ZIP CODE,UPC,QTY,SHIPPING METHOD
340493W,12/26/2013,A2992,Carlos Santos,30711 Carr Way,,Union City,CA,94587,693016299942,1,UPS Ground
340515W,12/26/2013,A2992,lucille Ludovico,6 EDGEWOOD AVE,,DIX HILLS,NY,11746-6911,693016299942,1,UPS 3 Day Select
340568W,12/26/2013,A2992,Kay Pauly,1483 Twp. Rd. 1308,,Ashland,OH,44805,693016299942,1,UPS 3 Day Select
340737W,12/26/2013,A2992,laura patino,14946 farmington st.,,hesperia,CA,92345,693016299942,1,UPS Ground
340755W,12/26/2013,A2992,Ha Nguyen,4109 Oak Point Dr.,,Pearland,TX,77581,693016299942,1,UPS Ground
340775W,12/26/2013,A2992,Nicole Armstrong,53200 Crossover Road,,Independence,LA,70443,693016299942,1,UPS 3 Day Select
340898,12/26/2013,A2992,Savannah Dortch,6323 Hwy 26 W,,Oglethorpe,GA,31068,693016312474,1,UPS 3 Day Select
340901,12/26/2013,A2992,Mitchell Moeller,5525 Fox Marsh PL,,Moseley,VA,23120,693016391868,1,UPS 3 Day Select
340902,12/26/2013,A2992,Martha Robinson,101 Newitt Vick Dr,,Vicksburg,MS,39183,693016380473,1,UPS 3 Day Select
340911,12/26/2013,A2992,Deana Honeycutt,313 Elbert Robinson Road,,Caledonia,MS,39740,693016387465,1,UPS 3 Day Select
340936,12/26/2013,A2992,RITA TUMIS,9211 SHAWNEE TRAIL,,BRENTWOOD,TN,37027,693016311637,1,UPS 3 Day Select
340942,12/26/2013,A2992,david  delaney,10207 Rattersly Ct,,charlotte,NC,28277,693016389537,1,UPS 3 Day Select
340970,12/26/2013,A2992,yvette foney,1532 shagbark circle,,birmingham,AL,35235,693016272518,1,UPS 3 Day Select
340995,12/26/2013,A2992,Clare  Hawkins,3890 ocean view dr,,Florence,OR,97439,693016280841,1,UPS Ground
341035,12/26/2013,A2992,Patrick J Hennessey Jr,4610 Clayhead Road,,Richmond,TX,77406-8109,693016310234,1,UPS Ground
341038W,12/26/2013,A2992,Beverly Bounds,1067 Buckboard Trail,,Mesquite,NV,89034,693016306800,1,UPS Ground
341038W,12/26/2013,A2992,Beverly Bounds,1067 Buckboard Trail,,Mesquite,NV,89034,693016299621,1,UPS Ground
341044,12/26/2013,A2992,carolyn williams,7917 epsons rd,,gladys,VA,24554,693016312474,1,UPS 3 Day Select
341062W,12/26/2013,A2992,Deniza Gertsberg,3406 Cedar Village Blvd,,East Brunswick,NJ,08816,693016310418,1,UPS 3 Day Select
341062W,12/26/2013,A2992,Deniza Gertsberg,3406 Cedar Village Blvd,,East Brunswick,NJ,08816,693016299638,1,UPS 3 Day Select
341064,12/26/2013,A2992,Helena Hamilton,14570 Mountain Quail Road,,Salinas,CA,93908,693016381425,1,UPS Ground
341068,12/26/2013,A2992,Marilynn Kingry,101 E Driftwood #42,,Fredericksburg,TX,78624,693016388837,1,UPS Ground
341072,12/26/2013,A2992,Dennis Pearson,6500 Alpine Lane,,Amarillo,TX,79109,693016292608,1,UPS Ground
341121,12/26/2013,A2992,Lynne Kolenich,3820 highland ave,,Shadyside,OH,43947,693016296422,1,UPS 3 Day Select
341152,12/26/2013,A2992,Betsy McLendon,47 Adam Drive,,Forsyth,GA,31029,693016296286,1,UPS 3 Day Select
341178,12/26/2013,A2992,Mary Ellison,4015 Martins Branch Road,,Charleston,WV,25312,693016389162,1,UPS 3 Day Select
341181,12/26/2013,A2992,Carolyn Kauffman,1161 orchard run dr,,lebanon,OH,45036,693016389186,1,UPS 3 Day Select
341183W,12/26/2013,A2992,Barbara Swann,337 Highland Ave.,,Raceland,KY,41169,693016380374,1,UPS 3 Day Select
341183W,12/26/2013,A2992,Barbara Swann,337 Highland Ave.,,Raceland,KY,41169,693016299980,1,UPS 3 Day Select
341219,12/26/2013,A2992,Sarah Bahler,2634 60th St NW,,Rochester,MN,55901,693016272501,1,UPS 3 Day Select
