S/O,S/O Date,Customer ID,Ship to,shipping address,shipping address line 2,shipping city,shipping state,shipping zip code,UPC,Qty,shipping method
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93016E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
9592-1,12/3/2015,A2992,Scrubwagon,684 Hanes Mall Blvd,,Winston Salem,NC,27103,6.93017E+11,1,UPS Ground
