sku,UPC,title,quantity_available,status,cost,currency_code,quantity_on_order,estimated_availability_date,pgid,date
693016214440,693016214440,Classic Brilliant Black Patent,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016208005,693016208005,Classic Brilliant Black Patent,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016208012,693016208012,Classic Brilliant Black Patent,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016208029,693016208029,Classic Brilliant Black Patent,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016208036,693016208036,Classic Brilliant Black Patent,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016208043,693016208043,Classic Brilliant Black Patent,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016208050,693016208050,Classic Brilliant Black Patent,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016208067,693016208067,Classic Brilliant Black Patent,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016585175,693016585175,Classic Bubblish,0,,54.50,USD,,,A1152B,07/14/2017
693016585182,693016585182,Classic Bubblish,4,,54.50,USD,,,A1152B,07/14/2017
693016585199,693016585199,Classic Bubblish,16,,54.50,USD,,,A1152B,07/14/2017
693016585205,693016585205,Classic Bubblish,39,,54.50,USD,,,A1152B,07/14/2017
693016585212,693016585212,Classic Bubblish,71,,54.50,USD,,,A1152B,07/14/2017
693016585229,693016585229,Classic Bubblish,87,,54.50,USD,,,A1152B,07/14/2017
693016585236,693016585236,Classic Bubblish,70,,54.50,USD,,,A1152B,07/14/2017
693016585243,693016585243,Classic Bubblish,46,,54.50,USD,,,A1152B,07/14/2017
693016585250,693016585250,Classic Bubblish,4,,54.50,USD,,,A1152B,07/14/2017
693016585267,693016585267,Classic Bubblish,0,,54.50,USD,,,A1152B,07/14/2017
693016585373,693016585373,Classic Flora Fiesta,0,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585380,693016585380,Classic Flora Fiesta,10,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585397,693016585397,Classic Flora Fiesta,9,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585403,693016585403,Classic Flora Fiesta,42,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585410,693016585410,Classic Flora Fiesta,85,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585427,693016585427,Classic Flora Fiesta,77,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585434,693016585434,Classic Flora Fiesta,67,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585441,693016585441,Classic Flora Fiesta,28,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585458,693016585458,Classic Flora Fiesta,16,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585465,693016585465,Classic Flora Fiesta,0,discontinued,54.50,USD,,,A1152B,07/14/2017
693016585472,693016585472,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016585489,693016585489,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016585496,693016585496,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016585502,693016585502,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016585519,693016585519,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016585526,693016585526,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016585533,693016585533,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016585540,693016585540,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016585557,693016585557,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016585564,693016585564,Classic Perennial,0,,54.50,USD,,,A1152B,07/14/2017
693016608942,693016608942,Classic Retro,0,,54.50,USD,,,A1152B,07/14/2017
693016608959,693016608959,Classic Retro,0,,54.50,USD,,,A1152B,07/14/2017
693016608966,693016608966,Classic Retro,25,,54.50,USD,,,A1152B,07/14/2017
693016608973,693016608973,Classic Retro,26,,54.50,USD,,,A1152B,07/14/2017
693016608980,693016608980,Classic Retro,16,,54.50,USD,,,A1152B,07/14/2017
693016608997,693016608997,Classic Retro,2,,54.50,USD,,,A1152B,07/14/2017
693016609000,693016609000,Classic Retro,7,,54.50,USD,,,A1152B,07/14/2017
693016609017,693016609017,Classic Retro,0,,54.50,USD,,,A1152B,07/14/2017
693016609024,693016609024,Classic Retro,0,,54.50,USD,,,A1152B,07/14/2017
693016609147,693016609147,Classic Vortex,0,,54.50,USD,,,A1152B,07/14/2017
693016609154,693016609154,Classic Vortex,0,,54.50,USD,,,A1152B,07/14/2017
693016609161,693016609161,Classic Vortex,0,,54.50,USD,,,A1152B,07/14/2017
693016609178,693016609178,Classic Vortex,0,,54.50,USD,,,A1152B,07/14/2017
693016609185,693016609185,Classic Vortex,0,,54.50,USD,,,A1152B,07/14/2017
693016609192,693016609192,Classic Vortex,0,,54.50,USD,,,A1152B,07/14/2017
693016609208,693016609208,Classic Vortex,0,,54.50,USD,,,A1152B,07/14/2017
693016609215,693016609215,Classic Vortex,0,,54.50,USD,,,A1152B,07/14/2017
693016609222,693016609222,Classic Vortex,0,,54.50,USD,,,A1152B,07/14/2017
693016252145,693016252145,Classic Soft Bronze,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016252152,693016252152,Classic Soft Bronze,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016252169,693016252169,Classic Soft Bronze,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016252176,693016252176,Classic Soft Bronze,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016252183,693016252183,Classic Soft Bronze,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016252190,693016252190,Classic Soft Bronze,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016252206,693016252206,Classic Soft Bronze,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016252213,693016252213,Classic Soft Bronze,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532681,693016532681,Classic Pro Jazzy Black,0,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532698,693016532698,Classic Pro Jazzy Black,6,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532704,693016532704,Classic Pro Jazzy Black,5,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532711,693016532711,Classic Pro Jazzy Black,7,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532728,693016532728,Classic Pro Jazzy Black,47,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532735,693016532735,Classic Pro Jazzy Black,71,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532742,693016532742,Classic Pro Jazzy Black,0,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532759,693016532759,Classic Pro Jazzy Black,0,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532766,693016532766,Classic Pro Jazzy Black,0,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532773,693016532773,Classic Pro Jazzy Black,0,discontinued,54.50,USD,,,A1152B,07/14/2017
693016532889,693016532889,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532896,693016532896,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532902,693016532902,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532919,693016532919,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532926,693016532926,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532933,693016532933,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532940,693016532940,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532957,693016532957,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532964,693016532964,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016532971,693016532971,Classic Pro Jazzy Blue,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016562602,693016562602,Classic Spiro Purple,0,,54.50,USD,,,A1152B,07/14/2017
693016562619,693016562619,Classic Spiro Purple,3,,54.50,USD,,,A1152B,07/14/2017
693016562626,693016562626,Classic Spiro Purple,23,,54.50,USD,,,A1152B,07/14/2017
693016562633,693016562633,Classic Spiro Purple,13,,54.50,USD,,,A1152B,07/14/2017
693016562640,693016562640,Classic Spiro Purple,34,,54.50,USD,,,A1152B,07/14/2017
693016562657,693016562657,Classic Spiro Purple,44,,54.50,USD,,,A1152B,07/14/2017
693016562664,693016562664,Classic Spiro Purple,0,,54.50,USD,,,A1152B,07/14/2017
693016562671,693016562671,Classic Spiro Purple,3,,54.50,USD,,,A1152B,07/14/2017
693016562688,693016562688,Classic Spiro Purple,0,,54.50,USD,,,A1152B,07/14/2017
693016562695,693016562695,Classic Spiro Purple,0,,54.50,USD,,,A1152B,07/14/2017
693016546428,693016546428,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546435,693016546435,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546442,693016546442,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546459,693016546459,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546466,693016546466,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546473,693016546473,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546480,693016546480,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546497,693016546497,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546503,693016546503,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546510,693016546510,Classic Wild West Whiskey,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546329,693016546329,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546336,693016546336,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546343,693016546343,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546350,693016546350,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546367,693016546367,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546374,693016546374,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546381,693016546381,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546398,693016546398,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546404,693016546404,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016546411,693016546411,Classic Wild West Ash,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016585274,693016585274,Classic Tectonic,0,,54.50,USD,,,A1152B,07/14/2017
693016585281,693016585281,Classic Tectonic,3,,54.50,USD,,,A1152B,07/14/2017
693016585298,693016585298,Classic Tectonic,0,,54.50,USD,,,A1152B,07/14/2017
693016585304,693016585304,Classic Tectonic,4,,54.50,USD,,,A1152B,07/14/2017
693016585311,693016585311,Classic Tectonic,25,,54.50,USD,,,A1152B,07/14/2017
693016585328,693016585328,Classic Tectonic,33,,54.50,USD,,,A1152B,07/14/2017
693016585335,693016585335,Classic Tectonic,16,,54.50,USD,,,A1152B,07/14/2017
693016585342,693016585342,Classic Tectonic,6,,54.50,USD,,,A1152B,07/14/2017
693016585359,693016585359,Classic Tectonic,0,,54.50,USD,,,A1152B,07/14/2017
693016585366,693016585366,Classic Tectonic,0,,54.50,USD,,,A1152B,07/14/2017
693016569502,693016569502,Classic Molasses Tooled,0,,54.50,USD,,,A1152B,07/14/2017
693016569519,693016569519,Classic Molasses Tooled,20,,54.50,USD,,,A1152B,07/14/2017
693016569526,693016569526,Classic Molasses Tooled,61,,54.50,USD,,,A1152B,07/14/2017
693016569533,693016569533,Classic Molasses Tooled,139,,54.50,USD,,,A1152B,07/14/2017
693016569540,693016569540,Classic Molasses Tooled,174,,54.50,USD,,,A1152B,07/14/2017
693016569557,693016569557,Classic Molasses Tooled,199,,54.50,USD,,,A1152B,07/14/2017
693016569564,693016569564,Classic Molasses Tooled,123,,54.50,USD,,,A1152B,07/14/2017
693016569571,693016569571,Classic Molasses Tooled,77,,54.50,USD,,,A1152B,07/14/2017
693016569588,693016569588,Classic Molasses Tooled,10,,54.50,USD,,,A1152B,07/14/2017
693016569595,693016569595,Classic Molasses Tooled,0,,54.50,USD,,,A1152B,07/14/2017
693016570003,693016570003,Classic Teal Tooled,0,,54.50,USD,,,A1152B,07/14/2017
693016570010,693016570010,Classic Teal Tooled,14,,54.50,USD,,,A1152B,07/14/2017
693016570027,693016570027,Classic Teal Tooled,31,,54.50,USD,,,A1152B,07/14/2017
693016570034,693016570034,Classic Teal Tooled,54,,54.50,USD,,,A1152B,07/14/2017
693016570041,693016570041,Classic Teal Tooled,77,,54.50,USD,,,A1152B,07/14/2017
693016570058,693016570058,Classic Teal Tooled,101,,54.50,USD,,,A1152B,07/14/2017
693016570065,693016570065,Classic Teal Tooled,67,,54.50,USD,,,A1152B,07/14/2017
693016570072,693016570072,Classic Teal Tooled,34,,54.50,USD,,,A1152B,07/14/2017
693016570089,693016570089,Classic Teal Tooled,13,,54.50,USD,,,A1152B,07/14/2017
693016570096,693016570096,Classic Teal Tooled,0,,54.50,USD,,,A1152B,07/14/2017
693016569908,693016569908,Classic Tar Tooled,0,,54.50,USD,,,A1152B,07/14/2017
693016569915,693016569915,Classic Tar Tooled,15,,54.50,USD,,,A1152B,07/14/2017
693016569922,693016569922,Classic Tar Tooled,45,,54.50,USD,,,A1152B,07/14/2017
693016569939,693016569939,Classic Tar Tooled,29,,54.50,USD,,,A1152B,07/14/2017
693016569946,693016569946,Classic Tar Tooled,20,,54.50,USD,,,A1152B,07/14/2017
693016569953,693016569953,Classic Tar Tooled,9,,54.50,USD,,,A1152B,07/14/2017
693016569960,693016569960,Classic Tar Tooled,23,,54.50,USD,,,A1152B,07/14/2017
693016569977,693016569977,Classic Tar Tooled,13,,54.50,USD,,,A1152B,07/14/2017
693016569984,693016569984,Classic Tar Tooled,0,,54.50,USD,,,A1152B,07/14/2017
693016569991,693016569991,Classic Tar Tooled,0,,54.50,USD,,,A1152B,07/14/2017
693016504152,693016504152,Classic Safari,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016504169,693016504169,Classic Safari,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016504176,693016504176,Classic Safari,0,discontinued,34.50,USD,,,A1152B,07/14/2017
