Style,Color,Size,UPC,Cost
693016214440,ALG-101,35,Classic Brilliant Black Patent,49.50,
693016208005,ALG-101,36,Classic Brilliant Black Patent,49.50,
693016208012,ALG-101,37,Classic Brilliant Black Patent,49.50,
693016208029,ALG-101,38,Classic Brilliant Black Patent,49.50,
693016208036,ALG-101,39,Classic Brilliant Black Patent,49.50,
693016208043,ALG-101,40,Classic Brilliant Black Patent,49.50,
693016208050,ALG-101,41,Classic Brilliant Black Patent,49.50,
693016208067,ALG-101,42,Classic Brilliant Black Patent,49.50,
693016210688,ALG-117,35,Classic Cognac Crinkle,29.50,
693016210695,ALG-117,36,Classic Cognac Crinkle,29.50,
693016210701,ALG-117,37,Classic Cognac Crinkle,29.50,
693016210718,ALG-117,38,Classic Cognac Crinkle,29.50,
693016210725,ALG-117,39,Classic Cognac Crinkle,29.50,
693016210732,ALG-117,40,Classic Cognac Crinkle,29.50,
693016210749,ALG-117,41,Classic Cognac Crinkle,29.50,
693016210756,ALG-117,42,Classic Cognac Crinkle,29.50,
693016218332,ALG-311,35,Classic Peace & Love Black,49.50,
693016218349,ALG-311,36,Classic Peace & Love Black,49.50,
693016218356,ALG-311,37,Classic Peace & Love Black,49.50,
693016218363,ALG-311,38,Classic Peace & Love Black,49.50,
693016218370,ALG-311,39,Classic Peace & Love Black,49.50,
693016218387,ALG-311,40,Classic Peace & Love Black,49.50,
693016218394,ALG-311,41,Classic Peace & Love Black,49.50,
693016218400,ALG-311,42,Classic Peace & Love Black,49.50,
693016252381,ALG-320,35,Classic Frida Patent,49.50,
693016252398,ALG-320,36,Classic Frida Patent,49.50,
693016252404,ALG-320,37,Classic Frida Patent,49.50,
693016252411,ALG-320,38,Classic Frida Patent,49.50,
693016252428,ALG-320,39,Classic Frida Patent,49.50,
693016252435,ALG-320,40,Classic Frida Patent,49.50,
693016252442,ALG-320,41,Classic Frida Patent,49.50,
693016252459,ALG-320,42,Classic Frida Patent,49.50,
693016256303,ALG-336,35,Classic Emboss Blue,49.50,
693016256310,ALG-336,36,Classic Emboss Blue,49.50,
693016256327,ALG-336,37,Classic Emboss Blue,49.50,
693016256334,ALG-336,38,Classic Emboss Blue,49.50,
693016256341,ALG-336,39,Classic Emboss Blue,49.50,
693016256358,ALG-336,40,Classic Emboss Blue,49.50,
693016256365,ALG-336,41,Classic Emboss Blue,49.50,
693016256372,ALG-336,42,Classic Emboss Blue,49.50,
693016305759,ALG-369,35,Classic Blue Dreamy,49.50,
693016305766,ALG-369,36,Classic Blue Dreamy,49.50,
693016305773,ALG-369,37,Classic Blue Dreamy,49.50,
693016305780,ALG-369,38,Classic Blue Dreamy,49.50,
693016305797,ALG-369,39,Classic Blue Dreamy,49.50,
693016305803,ALG-369,40,Classic Blue Dreamy,49.50,
693016305810,ALG-369,41,Classic Blue Dreamy,49.50,
693016305827,ALG-369,42,Classic Blue Dreamy,49.50,
693016273164,ALG-381,35,Classic Fabric Black,49.50,
693016273171,ALG-381,36,Classic Fabric Black,49.50,
693016273188,ALG-381,37,Classic Fabric Black,49.50,
693016273195,ALG-381,38,Classic Fabric Black,49.50,
693016273201,ALG-381,39,Classic Fabric Black,49.50,
693016273218,ALG-381,40,Classic Fabric Black,49.50,
693016273225,ALG-381,41,Classic Fabric Black,49.50,
693016273232,ALG-381,42,Classic Fabric Black,49.50,
693016273324,ALG-383,35,Classic Fabric Chrome,49.50,
693016273331,ALG-383,36,Classic Fabric Chrome,49.50,
693016273348,ALG-383,37,Classic Fabric Chrome,49.50,
693016273355,ALG-383,38,Classic Fabric Chrome,49.50,
693016273362,ALG-383,39,Classic Fabric Chrome,49.50,
693016273379,ALG-383,40,Classic Fabric Chrome,49.50,
693016273386,ALG-383,41,Classic Fabric Chrome,49.50,
693016273393,ALG-383,42,Classic Fabric Chrome,49.50,
693016266128,ALG-531,35,Classic Black Emboss Rose,49.50,
693016266135,ALG-531,36,Classic Black Emboss Rose,49.50,
693016266142,ALG-531,37,Classic Black Emboss Rose,49.50,
693016266159,ALG-531,38,Classic Black Emboss Rose,49.50,
693016266166,ALG-531,39,Classic Black Emboss Rose,49.50,
693016266173,ALG-531,40,Classic Black Emboss Rose,49.50,
693016266180,ALG-531,41,Classic Black Emboss Rose,49.50,
693016266197,ALG-531,42,Classic Black Emboss Rose,49.50,
693016266203,ALG-532,35,Classic Brown Emboss Rose,49.50,
693016266210,ALG-532,36,Classic Brown Emboss Rose,49.50,
693016266227,ALG-532,37,Classic Brown Emboss Rose,49.50,
693016266234,ALG-532,38,Classic Brown Emboss Rose,49.50,
693016266241,ALG-532,39,Classic Brown Emboss Rose,49.50,
693016266258,ALG-532,40,Classic Brown Emboss Rose,49.50,
693016266265,ALG-532,41,Classic Brown Emboss Rose,49.50,
693016266272,ALG-532,42,Classic Brown Emboss Rose,49.50,
693016266289,ALG-533,35,Classic Navy Emboss Rose,49.50,
693016266296,ALG-533,36,Classic Navy Emboss Rose,49.50,
693016266302,ALG-533,37,Classic Navy Emboss Rose,49.50,
693016266319,ALG-533,38,Classic Navy Emboss Rose,49.50,
693016266326,ALG-533,39,Classic Navy Emboss Rose,49.50,
693016266333,ALG-533,40,Classic Navy Emboss Rose,49.50,
693016266340,ALG-533,41,Classic Navy Emboss Rose,49.50,
693016266357,ALG-533,42,Classic Navy Emboss Rose,49.50,
693016214464,ALG-601,35,Classic Black Napa,49.50,
693016208494,ALG-601,36,Classic Black Napa,49.50,
693016208500,ALG-601,37,Classic Black Napa,49.50,
693016208517,ALG-601,38,Classic Black Napa,49.50,
693016208524,ALG-601,39,Classic Black Napa,49.50,
693016208531,ALG-601,40,Classic Black Napa,49.50,
693016208548,ALG-601,41,Classic Black Napa,49.50,
