productcode,stockstatus,upc_code
ALG-101-35,0,693016214440
ALG-101-36,0,693016208005
ALG-101-37,0,693016208012
ALG-101-38,0,693016208029
ALG-101-39,0,693016208036
ALG-101-40,0,693016208043
ALG-101-41,0,693016208050
ALG-101-42,0,693016208067
ALG-137-34,0,693016585175
ALG-137-35,4,693016585182
ALG-137-36,16,693016585199
ALG-137-37,39,693016585205
ALG-137-38,71,693016585212
ALG-137-39,87,693016585229
ALG-137-40,70,693016585236
ALG-137-41,46,693016585243
ALG-137-42,4,693016585250
ALG-137-43,0,693016585267
ALG-138-34,0,693016585373
ALG-138-35,10,693016585380
ALG-138-36,9,693016585397
ALG-138-37,42,693016585403
ALG-138-38,85,693016585410
ALG-138-39,77,693016585427
ALG-138-40,67,693016585434
ALG-138-41,28,693016585441
ALG-138-42,16,693016585458
ALG-138-43,0,693016585465
ALG-139-34,0,693016585472
ALG-139-35,0,693016585489
ALG-139-36,0,693016585496
ALG-139-37,0,693016585502
ALG-139-38,0,693016585519
ALG-139-39,0,693016585526
ALG-139-40,0,693016585533
ALG-139-41,0,693016585540
ALG-139-42,0,693016585557
ALG-139-43,0,693016585564
ALG-147-35,0,693016608942
ALG-147-36,0,693016608959
ALG-147-37,25,693016608966
ALG-147-38,26,693016608973
ALG-147-39,16,693016608980
ALG-147-40,2,693016608997
ALG-147-41,7,693016609000
ALG-147-42,0,693016609017
ALG-147-43,0,693016609024
ALG-148-35,0,693016609147
ALG-148-36,0,693016609154
ALG-148-37,0,693016609161
ALG-148-38,0,693016609178
ALG-148-39,0,693016609185
ALG-148-40,0,693016609192
ALG-148-41,0,693016609208
ALG-148-42,0,693016609215
ALG-148-43,0,693016609222
ALG-205-35,0,693016252145
ALG-205-36,0,693016252152
ALG-205-37,0,693016252169
ALG-205-38,0,693016252176
ALG-205-39,0,693016252183
ALG-205-40,0,693016252190
ALG-205-41,0,693016252206
ALG-205-42,0,693016252213
ALG-231-34,0,693016532681
ALG-231-35,6,693016532698
ALG-231-36,5,693016532704
ALG-231-37,7,693016532711
ALG-231-38,47,693016532728
ALG-231-39,71,693016532735
ALG-231-40,0,693016532742
ALG-231-41,0,693016532759
ALG-231-42,0,693016532766
ALG-231-43,0,693016532773
ALG-233-34,0,693016532889
ALG-233-35,0,693016532896
ALG-233-36,0,693016532902
ALG-233-37,0,693016532919
ALG-233-38,0,693016532926
ALG-233-39,0,693016532933
ALG-233-40,0,693016532940
ALG-233-41,0,693016532957
ALG-233-42,0,693016532964
ALG-233-43,0,693016532971
ALG-324-34,0,693016562602
ALG-324-35,3,693016562619
ALG-324-36,23,693016562626
ALG-324-37,13,693016562633
ALG-324-38,34,693016562640
ALG-324-39,44,693016562657
ALG-324-40,0,693016562664
ALG-324-41,3,693016562671
ALG-324-42,0,693016562688
ALG-324-43,0,693016562695
ALG-344-34,0,693016546428
ALG-344-35,0,693016546435
ALG-344-36,0,693016546442
ALG-344-37,0,693016546459
ALG-344-38,0,693016546466
ALG-344-39,0,693016546473
ALG-344-40,0,693016546480
ALG-344-41,0,693016546497
ALG-344-42,0,693016546503
ALG-344-43,0,693016546510
ALG-345-34,0,693016546329
ALG-345-35,0,693016546336
ALG-345-36,0,693016546343
ALG-345-37,0,693016546350
ALG-345-38,0,693016546367
ALG-345-39,0,693016546374
ALG-345-40,0,693016546381
ALG-345-41,0,693016546398
ALG-345-42,0,693016546404
ALG-345-43,0,693016546411
ALG-372-34,0,693016585274
ALG-372-35,3,693016585281
ALG-372-36,0,693016585298
ALG-372-37,4,693016585304
ALG-372-38,25,693016585311
ALG-372-39,33,693016585328
ALG-372-40,16,693016585335
ALG-372-41,6,693016585342
ALG-372-42,0,693016585359
ALG-372-43,0,693016585366
ALG-422-34,0,693016569502
ALG-422-35,20,693016569519
ALG-422-36,61,693016569526
ALG-422-37,139,693016569533
ALG-422-38,174,693016569540
ALG-422-39,199,693016569557
ALG-422-40,123,693016569564
ALG-422-41,77,693016569571
ALG-422-42,10,693016569588
ALG-422-43,0,693016569595
ALG-425-34,0,693016570003
ALG-425-35,14,693016570010
ALG-425-36,31,693016570027
ALG-425-37,54,693016570034
ALG-425-38,77,693016570041
ALG-425-39,101,693016570058
ALG-425-40,67,693016570065
ALG-425-41,34,693016570072
ALG-425-42,13,693016570089
ALG-425-43,0,693016570096
ALG-429-34,0,693016569908
ALG-429-35,15,693016569915
ALG-429-36,45,693016569922
ALG-429-37,29,693016569939
ALG-429-38,20,693016569946
ALG-429-39,9,693016569953
ALG-429-40,23,693016569960
ALG-429-41,13,693016569977
