itemNo,color,size,upc,inStock,wholesalePrice,retailPrice,eta
ALG-101,Classic Brilliant Black Patent,35,693016214440,0,34.50,69.00,
ALG-101,Classic Brilliant Black Patent,36,693016208005,0,34.50,69.00,
ALG-101,Classic Brilliant Black Patent,37,693016208012,0,34.50,69.00,
ALG-101,Classic Brilliant Black Patent,38,693016208029,0,34.50,69.00,
ALG-101,Classic Brilliant Black Patent,39,693016208036,0,34.50,69.00,
ALG-101,Classic Brilliant Black Patent,40,693016208043,0,34.50,69.00,
ALG-101,Classic Brilliant Black Patent,41,693016208050,0,34.50,69.00,
ALG-101,Classic Brilliant Black Patent,42,693016208067,0,34.50,69.00,
ALG-137,Classic Bubblish,34,693016585175,0,54.50,119.95,Jul 15 2017
ALG-137,Classic Bubblish,35,693016585182,4,54.50,119.95,Jul 15 2017
ALG-137,Classic Bubblish,36,693016585199,16,54.50,119.95,Jul 15 2017
ALG-137,Classic Bubblish,37,693016585205,39,54.50,119.95,Jul 15 2017
ALG-137,Classic Bubblish,38,693016585212,71,54.50,119.95,Jul 15 2017
ALG-137,Classic Bubblish,39,693016585229,87,54.50,119.95,Jul 15 2017
ALG-137,Classic Bubblish,40,693016585236,70,54.50,119.95,Jul 15 2017
ALG-137,Classic Bubblish,41,693016585243,46,54.50,119.95,Jul 15 2017
ALG-137,Classic Bubblish,42,693016585250,4,54.50,119.95,Jul 15 2017
ALG-137,Classic Bubblish,43,693016585267,0,54.50,119.95,Jul 15 2017
ALG-138,Classic Flora Fiesta,34,693016585373,0,54.50,119.95,
ALG-138,Classic Flora Fiesta,35,693016585380,10,54.50,119.95,
ALG-138,Classic Flora Fiesta,36,693016585397,9,54.50,119.95,
ALG-138,Classic Flora Fiesta,37,693016585403,42,54.50,119.95,
ALG-138,Classic Flora Fiesta,38,693016585410,85,54.50,119.95,
ALG-138,Classic Flora Fiesta,39,693016585427,77,54.50,119.95,
ALG-138,Classic Flora Fiesta,40,693016585434,67,54.50,119.95,
ALG-138,Classic Flora Fiesta,41,693016585441,28,54.50,119.95,
ALG-138,Classic Flora Fiesta,42,693016585458,16,54.50,119.95,
ALG-138,Classic Flora Fiesta,43,693016585465,0,54.50,119.95,
ALG-139,Classic Perennial,34,693016585472,0,54.50,119.95,
ALG-139,Classic Perennial,35,693016585489,0,54.50,119.95,
ALG-139,Classic Perennial,36,693016585496,0,54.50,119.95,
ALG-139,Classic Perennial,37,693016585502,0,54.50,119.95,
ALG-139,Classic Perennial,38,693016585519,0,54.50,119.95,
ALG-139,Classic Perennial,39,693016585526,0,54.50,119.95,
ALG-139,Classic Perennial,40,693016585533,0,54.50,119.95,
ALG-139,Classic Perennial,41,693016585540,0,54.50,119.95,
ALG-139,Classic Perennial,42,693016585557,0,54.50,119.95,
ALG-139,Classic Perennial,43,693016585564,0,54.50,119.95,
ALG-147,Classic Retro,35,693016608942,0,54.50,119.95,Aug 24 2017
ALG-147,Classic Retro,36,693016608959,0,54.50,119.95,Aug 24 2017
ALG-147,Classic Retro,37,693016608966,25,54.50,119.95,Aug 24 2017
ALG-147,Classic Retro,38,693016608973,26,54.50,119.95,Aug 24 2017
ALG-147,Classic Retro,39,693016608980,16,54.50,119.95,Aug 24 2017
ALG-147,Classic Retro,40,693016608997,2,54.50,119.95,Aug 24 2017
ALG-147,Classic Retro,41,693016609000,7,54.50,119.95,Aug 24 2017
ALG-147,Classic Retro,42,693016609017,0,54.50,119.95,Aug 24 2017
ALG-147,Classic Retro,43,693016609024,0,54.50,119.95,Aug 24 2017
ALG-148,Classic Vortex,35,693016609147,0,54.50,119.95,Jul 21 2017
