CATALOG,SELECTION CODE,SELECTION CODE DESCRIPTION,PRODUCT ID,PRODUCT [ID] DESCRIPTION,UPC,VENDOR PART NUMBER,VENDOR PART DESCRIPTION,NRF COLOR CODE,PRODUCT COLOR DESCRIPTION,NRF SIZE CODE,PRODUCT SIZE DESCRIPTION,PRODUCT FABRIC DESCRIPTION,AVAILABLE DATE,DISCONTINUE DATE,MINIMIUM ORDER QTY,MAXIMUM ORDER QTY,REORDERABLE PRODUCT,SEASONAL AVAILABILITY,COUNTRY OF ORIGIN,INNER PACK QTY,OUTER PACK QTY,ORDER LEAD TIME,ORDER LEAD TIME CODE,ITEM EXTENDED DESCRIPTION,IMAGE URL,PRICE QUALIFIER 1,PRICE AMOUNT 1
CATALOG,ALG,Alegria Shoes,ALG-011_34,Classic Pro Black Waxy,693016532582,,,,Classic Pro Black Waxy,52144,34,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-011_35,Classic Pro Black Waxy,693016532599,,,,Classic Pro Black Waxy,52145,35,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-011_36,Classic Pro Black Waxy,693016532605,,,,Classic Pro Black Waxy,52146,36,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-011_37,Classic Pro Black Waxy,693016532612,,,,Classic Pro Black Waxy,52147,37,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-011_38,Classic Pro Black Waxy,693016532629,,,,Classic Pro Black Waxy,52148,38,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-011_39,Classic Pro Black Waxy,693016532636,,,,Classic Pro Black Waxy,52149,39,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-011_40,Classic Pro Black Waxy,693016532643,,,,Classic Pro Black Waxy,52150,40,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-011_41,Classic Pro Black Waxy,693016532650,,,,Classic Pro Black Waxy,52151,41,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-011_42,Classic Pro Black Waxy,693016532667,,,,Classic Pro Black Waxy,52152,42,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-011_43,Classic Pro Black Waxy,693016532674,,,,Classic Pro Black Waxy,52153,43,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
