SKU,Stock,MSRP
ALG-101_35,0,69.00
ALG-101_36,0,69.00
ALG-101_37,0,69.00
ALG-101_38,0,69.00
ALG-101_39,0,69.00
ALG-101_40,0,69.00
ALG-101_41,0,69.00
ALG-101_42,0,69.00
ALG-137_34,0,119.95
ALG-137_35,6,119.95
ALG-137_36,0,119.95
ALG-137_37,26,119.95
ALG-137_38,36,119.95
ALG-137_39,73,119.95
ALG-137_40,62,119.95
ALG-137_41,31,119.95
ALG-137_42,0,119.95
ALG-137_43,0,119.95
ALG-138_34,0,119.95
ALG-138_35,10,119.95
ALG-138_36,11,119.95
ALG-138_37,57,119.95
ALG-138_38,86,119.95
ALG-138_39,79,119.95
ALG-138_40,70,119.95
ALG-138_41,31,119.95
ALG-138_42,17,119.95
ALG-138_43,0,119.95
ALG-139_34,0,119.95
ALG-139_35,0,119.95
ALG-139_36,0,119.95
ALG-139_37,0,119.95
ALG-139_38,0,119.95
ALG-139_39,0,119.95
ALG-139_40,3,119.95
ALG-139_41,0,119.95
ALG-139_42,0,119.95
ALG-139_43,0,119.95
ALG-147_35,0,119.95
ALG-147_36,16,119.95
ALG-147_37,50,119.95
ALG-147_38,46,119.95
ALG-147_39,33,119.95
ALG-147_40,10,119.95
ALG-147_41,16,119.95
ALG-147_42,0,119.95
ALG-147_43,0,119.95
ALG-148_35,0,119.95
ALG-148_36,0,119.95
ALG-148_37,0,119.95
ALG-148_38,0,119.95
ALG-148_39,0,119.95
ALG-148_40,0,119.95
ALG-148_41,0,119.95
ALG-148_42,0,119.95
ALG-148_43,0,119.95
ALG-205_35,0,69.95
ALG-205_36,0,69.95
ALG-205_37,0,69.95
ALG-205_38,0,69.95
ALG-205_39,0,69.95
ALG-205_40,0,69.95
ALG-205_41,0,69.95
ALG-205_42,0,69.95
ALG-231_34,0,119.95
ALG-231_35,8,119.95
ALG-231_36,18,119.95
ALG-231_37,22,119.95
ALG-231_38,69,119.95
ALG-231_39,83,119.95
ALG-231_40,0,119.95
ALG-231_41,0,119.95
ALG-231_42,0,119.95
ALG-231_43,0,119.95
ALG-233_34,0,119.95
ALG-233_35,0,119.95
ALG-233_36,0,119.95
ALG-233_37,0,119.95
ALG-233_38,0,119.95
ALG-233_39,0,119.95
ALG-233_40,0,119.95
ALG-233_41,0,119.95
ALG-233_42,0,119.95
ALG-233_43,0,119.95
ALG-324_34,0,119.95
ALG-324_35,3,119.95
ALG-324_36,26,119.95
ALG-324_37,20,119.95
ALG-324_38,49,119.95
ALG-324_39,64,119.95
ALG-324_40,6,119.95
ALG-324_41,12,119.95
ALG-324_42,0,119.95
ALG-324_43,0,119.95
ALG-344_34,0,69.00
ALG-344_35,0,69.00
ALG-344_36,0,69.00
ALG-344_37,0,69.00
ALG-344_38,0,69.00
ALG-344_39,0,69.00
ALG-344_40,0,69.00
ALG-344_41,0,69.00
ALG-344_42,0,69.00
ALG-344_43,0,69.00
ALG-345_34,0,69.00
ALG-345_35,0,69.00
ALG-345_36,0,69.00
ALG-345_37,0,69.00
ALG-345_38,0,69.00
ALG-345_39,0,69.00
ALG-345_40,0,69.00
ALG-345_41,0,69.00
ALG-345_42,0,69.00
ALG-345_43,0,69.00
ALG-372_34,0,119.95
ALG-372_35,3,119.95
ALG-372_36,0,119.95
ALG-372_37,11,119.95
ALG-372_38,31,119.95
ALG-372_39,43,119.95
ALG-372_40,23,119.95
ALG-372_41,14,119.95
ALG-372_42,0,119.95
ALG-372_43,0,119.95
ALG-422_34,0,119.95
ALG-422_35,20,119.95
ALG-422_36,64,119.95
ALG-422_37,143,119.95
ALG-422_38,180,119.95
ALG-422_39,206,119.95
ALG-422_40,126,119.95
ALG-422_41,81,119.95
ALG-422_42,14,119.95
ALG-422_43,0,119.95
ALG-425_34,0,119.95
ALG-425_35,16,119.95
ALG-425_36,35,119.95
ALG-425_37,60,119.95
ALG-425_38,91,119.95
ALG-425_39,111,119.95
ALG-425_40,75,119.95
ALG-425_41,39,119.95
ALG-425_42,15,119.95
ALG-425_43,0,119.95
ALG-429_34,0,119.95
ALG-429_35,16,119.95
ALG-429_36,48,119.95
ALG-429_37,41,119.95
ALG-429_38,32,119.95
ALG-429_39,18,119.95
ALG-429_40,37,119.95
ALG-429_41,21,119.95
ALG-429_42,2,119.95
ALG-429_43,0,119.95
ALG-434_34,0,69.00
ALG-434_35,0,69.00
ALG-434_36,0,69.00
ALG-434_37,0,69.00
ALG-434_38,0,69.00
ALG-434_39,0,69.00
ALG-434_40,0,69.00
ALG-434_41,0,69.00
ALG-434_42,0,69.00
ALG-434_43,0,69.00
ALG-435_35,0,119.95
ALG-435_36,0,119.95
ALG-435_37,11,119.95
ALG-435_38,2,119.95
ALG-435_39,0,119.95
ALG-435_40,0,119.95
ALG-435_41,0,119.95
ALG-435_42,0,119.95
ALG-435_43,0,119.95
ALG-511_35,0,69.95
ALG-511_36,0,69.95
ALG-511_37,0,69.95
ALG-511_38,0,69.95
ALG-511_39,0,69.95
ALG-511_40,0,69.95
ALG-511_41,0,69.95
ALG-511_42,0,69.95
ALG-531_35,37,119.95
ALG-531_36,44,119.95
ALG-531_37,37,119.95
ALG-531_38,57,119.95
ALG-531_39,115,119.95
ALG-531_40,100,119.95
ALG-531_41,76,119.95
ALG-531_42,46,119.95
ALG-532_35,25,119.95
ALG-532_36,10,119.95
ALG-532_37,0,119.95
ALG-532_38,0,119.95
ALG-532_39,0,119.95
ALG-532_40,0,119.95
ALG-532_41,0,119.95
ALG-532_42,0,119.95
ALG-542_34,0,119.95
ALG-542_35,22,119.95
ALG-542_36,28,119.95
ALG-542_37,0,119.95
ALG-542_38,93,119.95
ALG-542_39,30,119.95
ALG-542_40,23,119.95
ALG-542_41,32,119.95
ALG-542_42,27,119.95
ALG-542_43,0,119.95
ALG-570_35,13,119.95
ALG-570_36,23,119.95
ALG-570_37,60,119.95
ALG-570_38,61,119.95
ALG-570_39,45,119.95
ALG-570_40,28,119.95
ALG-570_41,13,119.95
ALG-570_42,0,119.95
ALG-570_43,0,119.95
ALG-575_34,0,119.95
ALG-575_35,13,119.95
