Product SKU,Product UPC,Stock Level,Wholesale Price,MSRP
ALG-101-35,693016214440,0,34.50,69.00
ALG-101-36,693016208005,0,34.50,69.00
ALG-101-37,693016208012,0,34.50,69.00
ALG-101-38,693016208029,0,34.50,69.00
ALG-101-39,693016208036,0,34.50,69.00
ALG-101-40,693016208043,0,34.50,69.00
ALG-101-41,693016208050,0,34.50,69.00
ALG-101-42,693016208067,0,34.50,69.00
ALG-137-34,693016585175,0,54.50,119.95
ALG-137-35,693016585182,4,54.50,119.95
ALG-137-36,693016585199,16,54.50,119.95
ALG-137-37,693016585205,39,54.50,119.95
ALG-137-38,693016585212,71,54.50,119.95
ALG-137-39,693016585229,87,54.50,119.95
ALG-137-40,693016585236,70,54.50,119.95
ALG-137-41,693016585243,46,54.50,119.95
ALG-137-42,693016585250,4,54.50,119.95
ALG-137-43,693016585267,0,54.50,119.95
ALG-138-34,693016585373,0,54.50,119.95
ALG-138-35,693016585380,10,54.50,119.95
ALG-138-36,693016585397,9,54.50,119.95
ALG-138-37,693016585403,42,54.50,119.95
ALG-138-38,693016585410,85,54.50,119.95
ALG-138-39,693016585427,77,54.50,119.95
ALG-138-40,693016585434,67,54.50,119.95
ALG-138-41,693016585441,28,54.50,119.95
ALG-138-42,693016585458,16,54.50,119.95
ALG-138-43,693016585465,0,54.50,119.95
ALG-139-34,693016585472,0,54.50,119.95
ALG-139-35,693016585489,0,54.50,119.95
ALG-139-36,693016585496,0,54.50,119.95
ALG-139-37,693016585502,0,54.50,119.95
ALG-139-38,693016585519,0,54.50,119.95
ALG-139-39,693016585526,0,54.50,119.95
ALG-139-40,693016585533,0,54.50,119.95
ALG-139-41,693016585540,0,54.50,119.95
ALG-139-42,693016585557,0,54.50,119.95
ALG-139-43,693016585564,0,54.50,119.95
ALG-147-35,693016608942,0,54.50,119.95
ALG-147-36,693016608959,0,54.50,119.95
ALG-147-37,693016608966,25,54.50,119.95
ALG-147-38,693016608973,26,54.50,119.95
ALG-147-39,693016608980,16,54.50,119.95
ALG-147-40,693016608997,2,54.50,119.95
ALG-147-41,693016609000,7,54.50,119.95
ALG-147-42,693016609017,0,54.50,119.95
ALG-147-43,693016609024,0,54.50,119.95
ALG-148-35,693016609147,0,54.50,119.95
ALG-148-36,693016609154,0,54.50,119.95
ALG-148-37,693016609161,0,54.50,119.95
ALG-148-38,693016609178,0,54.50,119.95
ALG-148-39,693016609185,0,54.50,119.95
ALG-148-40,693016609192,0,54.50,119.95
ALG-148-41,693016609208,0,54.50,119.95
ALG-148-42,693016609215,0,54.50,119.95
ALG-148-43,693016609222,0,54.50,119.95
ALG-205-35,693016252145,0,34.50,69.95
ALG-205-36,693016252152,0,34.50,69.95
ALG-205-37,693016252169,0,34.50,69.95
ALG-205-38,693016252176,0,34.50,69.95
ALG-205-39,693016252183,0,34.50,69.95
ALG-205-40,693016252190,0,34.50,69.95
ALG-205-41,693016252206,0,34.50,69.95
ALG-205-42,693016252213,0,34.50,69.95
ALG-231-34,693016532681,0,54.50,119.95
ALG-231-35,693016532698,6,54.50,119.95
ALG-231-36,693016532704,5,54.50,119.95
ALG-231-37,693016532711,7,54.50,119.95
ALG-231-38,693016532728,47,54.50,119.95
ALG-231-39,693016532735,71,54.50,119.95
ALG-231-40,693016532742,0,54.50,119.95
ALG-231-41,693016532759,0,54.50,119.95
ALG-231-42,693016532766,0,54.50,119.95
ALG-231-43,693016532773,0,54.50,119.95
ALG-233-34,693016532889,0,34.50,119.95
ALG-233-35,693016532896,0,34.50,119.95
ALG-233-36,693016532902,0,34.50,119.95
ALG-233-37,693016532919,0,34.50,119.95
ALG-233-38,693016532926,0,34.50,119.95
ALG-233-39,693016532933,0,34.50,119.95
ALG-233-40,693016532940,0,34.50,119.95
ALG-233-41,693016532957,0,34.50,119.95
