Inventory Reference,Inventory Date,Vendor Number,Buyer Part Number,UPC,Product Description,Qty
170714,20170714,1936304,ALG-101,693016214440,Classic Brilliant Black Patent,0,
170714,20170714,1936304,ALG-101,693016208005,Classic Brilliant Black Patent,0,
170714,20170714,1936304,ALG-101,693016208012,Classic Brilliant Black Patent,0,
170714,20170714,1936304,ALG-101,693016208029,Classic Brilliant Black Patent,0,
170714,20170714,1936304,ALG-101,693016208036,Classic Brilliant Black Patent,0,
170714,20170714,1936304,ALG-101,693016208043,Classic Brilliant Black Patent,0,
170714,20170714,1936304,ALG-101,693016208050,Classic Brilliant Black Patent,0,
170714,20170714,1936304,ALG-101,693016208067,Classic Brilliant Black Patent,0,
170714,20170714,1936304,ALG-137,693016585175,Classic Bubblish,0,
170714,20170714,1936304,ALG-137,693016585182,Classic Bubblish,4,
170714,20170714,1936304,ALG-137,693016585199,Classic Bubblish,16,
170714,20170714,1936304,ALG-137,693016585205,Classic Bubblish,39,
170714,20170714,1936304,ALG-137,693016585212,Classic Bubblish,71,
170714,20170714,1936304,ALG-137,693016585229,Classic Bubblish,87,
170714,20170714,1936304,ALG-137,693016585236,Classic Bubblish,70,
170714,20170714,1936304,ALG-137,693016585243,Classic Bubblish,46,
170714,20170714,1936304,ALG-137,693016585250,Classic Bubblish,4,
170714,20170714,1936304,ALG-137,693016585267,Classic Bubblish,0,
170714,20170714,1936304,ALG-138,693016585373,Classic Flora Fiesta,0,
170714,20170714,1936304,ALG-138,693016585380,Classic Flora Fiesta,10,
170714,20170714,1936304,ALG-138,693016585397,Classic Flora Fiesta,9,
170714,20170714,1936304,ALG-138,693016585403,Classic Flora Fiesta,42,
170714,20170714,1936304,ALG-138,693016585410,Classic Flora Fiesta,85,
170714,20170714,1936304,ALG-138,693016585427,Classic Flora Fiesta,77,
170714,20170714,1936304,ALG-138,693016585434,Classic Flora Fiesta,67,
170714,20170714,1936304,ALG-138,693016585441,Classic Flora Fiesta,28,
170714,20170714,1936304,ALG-138,693016585458,Classic Flora Fiesta,16,
170714,20170714,1936304,ALG-138,693016585465,Classic Flora Fiesta,0,
170714,20170714,1936304,ALG-139,693016585472,Classic Perennial,0,
170714,20170714,1936304,ALG-139,693016585489,Classic Perennial,0,
170714,20170714,1936304,ALG-139,693016585496,Classic Perennial,0,
170714,20170714,1936304,ALG-139,693016585502,Classic Perennial,0,
170714,20170714,1936304,ALG-139,693016585519,Classic Perennial,0,
170714,20170714,1936304,ALG-139,693016585526,Classic Perennial,0,
170714,20170714,1936304,ALG-139,693016585533,Classic Perennial,0,
170714,20170714,1936304,ALG-139,693016585540,Classic Perennial,0,
170714,20170714,1936304,ALG-139,693016585557,Classic Perennial,0,
170714,20170714,1936304,ALG-139,693016585564,Classic Perennial,0,
170714,20170714,1936304,ALG-147,693016608942,Classic Retro,0,
170714,20170714,1936304,ALG-147,693016608959,Classic Retro,0,
170714,20170714,1936304,ALG-147,693016608966,Classic Retro,25,
170714,20170714,1936304,ALG-147,693016608973,Classic Retro,26,
170714,20170714,1936304,ALG-147,693016608980,Classic Retro,16,
170714,20170714,1936304,ALG-147,693016608997,Classic Retro,2,
170714,20170714,1936304,ALG-147,693016609000,Classic Retro,7,
170714,20170714,1936304,ALG-147,693016609017,Classic Retro,0,
170714,20170714,1936304,ALG-147,693016609024,Classic Retro,0,
170714,20170714,1936304,ALG-148,693016609147,Classic Vortex,0,
170714,20170714,1936304,ALG-148,693016609154,Classic Vortex,0,
170714,20170714,1936304,ALG-148,693016609161,Classic Vortex,0,
170714,20170714,1936304,ALG-148,693016609178,Classic Vortex,0,
170714,20170714,1936304,ALG-148,693016609185,Classic Vortex,0,
170714,20170714,1936304,ALG-148,693016609192,Classic Vortex,0,
170714,20170714,1936304,ALG-148,693016609208,Classic Vortex,0,
170714,20170714,1936304,ALG-148,693016609215,Classic Vortex,0,
170714,20170714,1936304,ALG-148,693016609222,Classic Vortex,0,
170714,20170714,1936304,ALG-205,693016252145,Classic Soft Bronze,0,
170714,20170714,1936304,ALG-205,693016252152,Classic Soft Bronze,0,
170714,20170714,1936304,ALG-205,693016252169,Classic Soft Bronze,0,
170714,20170714,1936304,ALG-205,693016252176,Classic Soft Bronze,0,
170714,20170714,1936304,ALG-205,693016252183,Classic Soft Bronze,0,
170714,20170714,1936304,ALG-205,693016252190,Classic Soft Bronze,0,
170714,20170714,1936304,ALG-205,693016252206,Classic Soft Bronze,0,
170714,20170714,1936304,ALG-205,693016252213,Classic Soft Bronze,0,
170714,20170714,1936304,ALG-231,693016532681,Classic Pro Jazzy Black,0,
170714,20170714,1936304,ALG-231,693016532698,Classic Pro Jazzy Black,6,
170714,20170714,1936304,ALG-231,693016532704,Classic Pro Jazzy Black,5,
170714,20170714,1936304,ALG-231,693016532711,Classic Pro Jazzy Black,7,
170714,20170714,1936304,ALG-231,693016532728,Classic Pro Jazzy Black,47,
170714,20170714,1936304,ALG-231,693016532735,Classic Pro Jazzy Black,71,
170714,20170714,1936304,ALG-231,693016532742,Classic Pro Jazzy Black,0,
170714,20170714,1936304,ALG-231,693016532759,Classic Pro Jazzy Black,0,
170714,20170714,1936304,ALG-231,693016532766,Classic Pro Jazzy Black,0,
170714,20170714,1936304,ALG-231,693016532773,Classic Pro Jazzy Black,0,
170714,20170714,1936304,ALG-233,693016532889,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-233,693016532896,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-233,693016532902,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-233,693016532919,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-233,693016532926,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-233,693016532933,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-233,693016532940,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-233,693016532957,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-233,693016532964,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-233,693016532971,Classic Pro Jazzy Blue,0,
170714,20170714,1936304,ALG-324,693016562602,Classic Spiro Purple,0,
170714,20170714,1936304,ALG-324,693016562619,Classic Spiro Purple,3,
170714,20170714,1936304,ALG-324,693016562626,Classic Spiro Purple,23,
170714,20170714,1936304,ALG-324,693016562633,Classic Spiro Purple,13,
