id,name,stock
ALG-101-35,,0
ALG-101-36,,0
ALG-101-37,,0
ALG-101-38,,0
ALG-101-39,,0
ALG-101-40,,0
ALG-101-41,,0
ALG-101-42,,0
ALG-101,,0
ALG-137-34,,0
ALG-137-35,,0
ALG-137-36,,16
ALG-137-37,,39
ALG-137-38,,71
ALG-137-39,,87
ALG-137-40,,70
ALG-137-41,,46
ALG-137-42,,0
ALG-137,,329
ALG-137-43,,0
ALG-138-34,,0
ALG-138-35,,0
ALG-138-36,,0
ALG-138-37,,42
ALG-138-38,,85
ALG-138-39,,77
ALG-138-40,,67
ALG-138-41,,28
ALG-138-42,,16
ALG-138,,315
ALG-138-43,,0
ALG-139-34,,0
ALG-139-35,,0
ALG-139-36,,0
ALG-139-37,,0
ALG-139-38,,0
ALG-139-39,,0
ALG-139-40,,0
ALG-139-41,,0
ALG-139-42,,0
ALG-139,,0
ALG-139-43,,0
ALG-147-35,,0
ALG-147-36,,0
ALG-147-37,,25
ALG-147-38,,26
ALG-147-39,,16
ALG-147-40,,0
ALG-147-41,,0
ALG-147-42,,0
ALG-147,,67
ALG-147-43,,0
ALG-148-35,,0
ALG-148-36,,0
ALG-148-37,,0
ALG-148-38,,0
ALG-148-39,,0
ALG-148-40,,0
ALG-148-41,,0
ALG-148-42,,0
ALG-148,,0
ALG-148-43,,0
ALG-205-35,,0
ALG-205-36,,0
ALG-205-37,,0
ALG-205-38,,0
ALG-205-39,,0
ALG-205-40,,0
ALG-205-41,,0
ALG-205-42,,0
ALG-205,,0
ALG-231-34,,0
ALG-231-35,,0
ALG-231-36,,0
ALG-231-37,,0
ALG-231-38,,47
ALG-231-39,,71
ALG-231-40,,0
ALG-231-41,,0
ALG-231-42,,0
ALG-231,,118
ALG-231-43,,0
ALG-233-34,,0
ALG-233-35,,0
ALG-233-36,,0
ALG-233-37,,0
ALG-233-38,,0
ALG-233-39,,0
ALG-233-40,,0
ALG-233-41,,0
ALG-233-42,,0
ALG-233,,0
ALG-233-43,,0
ALG-324-34,,0
ALG-324-35,,0
ALG-324-36,,23
ALG-324-37,,0
ALG-324-38,,34
ALG-324-39,,44
ALG-324-40,,0
ALG-324-41,,0
ALG-324-42,,0
ALG-324,,101
ALG-324-43,,0
ALG-344-34,,0
ALG-344-35,,0
ALG-344-36,,0
ALG-344-37,,0
ALG-344-38,,0
ALG-344-39,,0
ALG-344-40,,0
ALG-344-41,,0
ALG-344-42,,0
ALG-344,,0
ALG-344-43,,0
ALG-345-34,,0
ALG-345-35,,0
ALG-345-36,,0
ALG-345-37,,0
ALG-345-38,,0
ALG-345-39,,0
ALG-345-40,,0
ALG-345-41,,0
ALG-345-42,,0
ALG-345,,0
ALG-345-43,,0
ALG-372-34,,0
ALG-372-35,,0
ALG-372-36,,0
ALG-372-37,,0
ALG-372-38,,25
ALG-372-39,,33
ALG-372-40,,16
ALG-372-41,,0
ALG-372-42,,0
ALG-372,,74
ALG-372-43,,0
ALG-422-34,,0
ALG-422-35,,20
ALG-422-36,,61
ALG-422-37,,139
ALG-422-38,,174
ALG-422-39,,199
ALG-422-40,,123
ALG-422-41,,77
ALG-422-42,,0
ALG-422,,793
ALG-422-43,,0
ALG-425-34,,0
ALG-425-35,,0
ALG-425-36,,31
ALG-425-37,,54
ALG-425-38,,77
ALG-425-39,,101
ALG-425-40,,67
ALG-425-41,,34
ALG-425-42,,0
ALG-425,,364
ALG-425-43,,0
ALG-429-34,,0
ALG-429-35,,0
ALG-429-36,,45
ALG-429-37,,29
ALG-429-38,,20
ALG-429-39,,0
ALG-429-40,,23
ALG-429-41,,0
ALG-429-42,,0
ALG-429,,117
ALG-429-43,,0
ALG-434-34,,0
ALG-434-35,,0
ALG-434-36,,0
ALG-434-37,,0
ALG-434-38,,0
ALG-434-39,,0
ALG-434-40,,0
ALG-434-41,,0
ALG-434-42,,0
ALG-434,,0
ALG-434-43,,0
ALG-435-35,,0
ALG-435-36,,0
ALG-435-37,,0
ALG-435-38,,0
ALG-435-39,,0
ALG-435-40,,0
ALG-435-41,,0
ALG-435-42,,0
ALG-435,,0
ALG-435-43,,0
ALG-531-35,,43
ALG-531-36,,110
ALG-531-37,,205
ALG-531-38,,216
ALG-531-39,,326
ALG-531-40,,255
ALG-531-41,,158
ALG-531-42,,66
ALG-531,,1379
ALG-532-35,,25
ALG-532-36,,0
ALG-532-37,,0
ALG-532-38,,0
ALG-532-39,,0
ALG-532-40,,0
ALG-532-41,,0
ALG-532-42,,0
ALG-532,,25
ALG-542-34,,0
ALG-542-35,,21
ALG-542-36,,23
ALG-542-37,,0
ALG-542-38,,67
ALG-542-39,,0
ALG-542-40,,0
ALG-542-41,,17
ALG-542-42,,0
ALG-542,,128
ALG-542-43,,0
ALG-570-35,,17
ALG-570-36,,21
ALG-570-37,,46
ALG-570-38,,55
ALG-570-39,,42
ALG-570-40,,24
ALG-570-41,,0
ALG-570-42,,0
ALG-570,,205
ALG-570-43,,0
ALG-575-34,,0
ALG-575-35,,0
ALG-575-36,,28
ALG-575-37,,59
ALG-575-38,,58
