REC-TYPE,VENDOR SKU NO,HOST SKU NO,UPC,ON HAND QTY,ON HAND DATE,BACKORDER QTY,BACKORDER DATE,EXPECTED QTY,EXPECTED DATE
IR,ALG-101_35,,693016214440,0,,,,,
IR,ALG-101_36,,693016208005,0,,,,,
IR,ALG-101_37,,693016208012,0,,,,,
IR,ALG-101_38,,693016208029,0,,,,,
IR,ALG-101_39,,693016208036,0,,,,,
IR,ALG-101_40,,693016208043,0,,,,,
IR,ALG-101_41,,693016208050,0,,,,,
IR,ALG-101_42,,693016208067,0,,,,,
IR,ALG-137_34,,693016585175,0,,,,,
IR,ALG-137_35,,693016585182,4,,,,,
IR,ALG-137_36,,693016585199,16,,,,,
IR,ALG-137_37,,693016585205,39,,,,,
IR,ALG-137_38,,693016585212,71,,,,,
IR,ALG-137_39,,693016585229,87,,,,,
IR,ALG-137_40,,693016585236,70,,,,,
IR,ALG-137_41,,693016585243,46,,,,,
IR,ALG-137_42,,693016585250,4,,,,,
IR,ALG-137_43,,693016585267,0,,,,,
IR,ALG-138_34,,693016585373,0,,,,,
IR,ALG-138_35,,693016585380,10,,,,,
IR,ALG-138_36,,693016585397,9,,,,,
IR,ALG-138_37,,693016585403,42,,,,,
IR,ALG-138_38,,693016585410,85,,,,,
IR,ALG-138_39,,693016585427,77,,,,,
IR,ALG-138_40,,693016585434,67,,,,,
IR,ALG-138_41,,693016585441,28,,,,,
IR,ALG-138_42,,693016585458,16,,,,,
IR,ALG-138_43,,693016585465,0,,,,,
IR,ALG-139_34,,693016585472,0,,,,,
IR,ALG-139_35,,693016585489,0,,,,,
IR,ALG-139_36,,693016585496,0,,,,,
IR,ALG-139_37,,693016585502,0,,,,,
IR,ALG-139_38,,693016585519,0,,,,,
IR,ALG-139_39,,693016585526,0,,,,,
IR,ALG-139_40,,693016585533,0,,,,,
IR,ALG-139_41,,693016585540,0,,,,,
IR,ALG-139_42,,693016585557,0,,,,,
IR,ALG-139_43,,693016585564,0,,,,,
IR,ALG-147_35,,693016608942,0,,,,,
IR,ALG-147_36,,693016608959,0,,,,,
IR,ALG-147_37,,693016608966,25,,,,,
IR,ALG-147_38,,693016608973,26,,,,,
IR,ALG-147_39,,693016608980,16,,,,,
IR,ALG-147_40,,693016608997,2,,,,,
IR,ALG-147_41,,693016609000,7,,,,,
IR,ALG-147_42,,693016609017,0,,,,,
IR,ALG-147_43,,693016609024,0,,,,,
IR,ALG-148_35,,693016609147,0,,,,,
IR,ALG-148_36,,693016609154,0,,,,,
IR,ALG-148_37,,693016609161,0,,,,,
IR,ALG-148_38,,693016609178,0,,,,,
IR,ALG-148_39,,693016609185,0,,,,,
IR,ALG-148_40,,693016609192,0,,,,,
IR,ALG-148_41,,693016609208,0,,,,,
IR,ALG-148_42,,693016609215,0,,,,,
IR,ALG-148_43,,693016609222,0,,,,,
IR,ALG-205_35,,693016252145,0,,,,,
IR,ALG-205_36,,693016252152,0,,,,,
IR,ALG-205_37,,693016252169,0,,,,,
IR,ALG-205_38,,693016252176,0,,,,,
IR,ALG-205_39,,693016252183,0,,,,,
IR,ALG-205_40,,693016252190,0,,,,,
IR,ALG-205_41,,693016252206,0,,,,,
IR,ALG-205_42,,693016252213,0,,,,,
IR,ALG-231_34,,693016532681,0,,,,,
IR,ALG-231_35,,693016532698,6,,,,,
IR,ALG-231_36,,693016532704,5,,,,,
IR,ALG-231_37,,693016532711,7,,,,,
IR,ALG-231_38,,693016532728,47,,,,,
IR,ALG-231_39,,693016532735,71,,,,,
IR,ALG-231_40,,693016532742,0,,,,,
IR,ALG-231_41,,693016532759,0,,,,,
IR,ALG-231_42,,693016532766,0,,,,,
IR,ALG-231_43,,693016532773,0,,,,,
IR,ALG-233_34,,693016532889,0,,,,,
IR,ALG-233_35,,693016532896,0,,,,,
IR,ALG-233_36,,693016532902,0,,,,,
IR,ALG-233_37,,693016532919,0,,,,,
IR,ALG-233_38,,693016532926,0,,,,,
IR,ALG-233_39,,693016532933,0,,,,,
IR,ALG-233_40,,693016532940,0,,,,,
IR,ALG-233_41,,693016532957,0,,,,,
IR,ALG-233_42,,693016532964,0,,,,,
IR,ALG-233_43,,693016532971,0,,,,,
IR,ALG-324_34,,693016562602,0,,,,,
IR,ALG-324_35,,693016562619,3,,,,,
IR,ALG-324_36,,693016562626,23,,,,,
IR,ALG-324_37,,693016562633,13,,,,,
IR,ALG-324_38,,693016562640,34,,,,,
IR,ALG-324_39,,693016562657,44,,,,,
IR,ALG-324_40,,693016562664,0,,,,,
IR,ALG-324_41,,693016562671,3,,,,,
IR,ALG-324_42,,693016562688,0,,,,,
IR,ALG-324_43,,693016562695,0,,,,,
IR,ALG-344_34,,693016546428,0,,,,,
IR,ALG-344_35,,693016546435,0,,,,,
IR,ALG-344_36,,693016546442,0,,,,,
IR,ALG-344_37,,693016546459,0,,,,,
IR,ALG-344_38,,693016546466,0,,,,,
IR,ALG-344_39,,693016546473,0,,,,,
IR,ALG-344_40,,693016546480,0,,,,,
IR,ALG-344_41,,693016546497,0,,,,,
IR,ALG-344_42,,693016546503,0,,,,,
IR,ALG-344_43,,693016546510,0,,,,,
IR,ALG-345_34,,693016546329,0,,,,,
IR,ALG-345_35,,693016546336,0,,,,,
IR,ALG-345_36,,693016546343,0,,,,,
IR,ALG-345_37,,693016546350,0,,,,,
IR,ALG-345_38,,693016546367,0,,,,,
IR,ALG-345_39,,693016546374,0,,,,,
IR,ALG-345_40,,693016546381,0,,,,,
IR,ALG-345_41,,693016546398,0,,,,,
IR,ALG-345_42,,693016546404,0,,,,,
IR,ALG-345_43,,693016546411,0,,,,,
IR,ALG-372_34,,693016585274,0,,,,,
IR,ALG-372_35,,693016585281,3,,,,,
IR,ALG-372_36,,693016585298,0,,,,,
IR,ALG-372_37,,693016585304,4,,,,,
IR,ALG-372_38,,693016585311,25,,,,,
IR,ALG-372_39,,693016585328,33,,,,,
IR,ALG-372_40,,693016585335,16,,,,,
IR,ALG-372_41,,693016585342,6,,,,,
IR,ALG-372_42,,693016585359,0,,,,,
IR,ALG-372_43,,693016585366,0,,,,,
IR,ALG-422_34,,693016569502,0,,,,,
IR,ALG-422_35,,693016569519,20,,,,,
IR,ALG-422_36,,693016569526,61,,,,,
IR,ALG-422_37,,693016569533,139,,,,,
IR,ALG-422_38,,693016569540,174,,,,,
IR,ALG-422_39,,693016569557,199,,,,,
IR,ALG-422_40,,693016569564,123,,,,,
IR,ALG-422_41,,693016569571,77,,,,,
IR,ALG-422_42,,693016569588,10,,,,,
IR,ALG-422_43,,693016569595,0,,,,,
IR,ALG-425_34,,693016570003,0,,,,,
IR,ALG-425_35,,693016570010,14,,,,,
IR,ALG-425_36,,693016570027,31,,,,,
IR,ALG-425_37,,693016570034,54,,,,,
IR,ALG-425_38,,693016570041,77,,,,,
IR,ALG-425_39,,693016570058,101,,,,,
IR,ALG-425_40,,693016570065,67,,,,,
IR,ALG-425_41,,693016570072,34,,,,,
IR,ALG-425_42,,693016570089,13,,,,,
IR,ALG-425_43,,693016570096,0,,,,,
IR,ALG-429_34,,693016569908,0,,,,,
IR,ALG-429_35,,693016569915,15,,,,,
IR,ALG-429_36,,693016569922,45,,,,,
IR,ALG-429_37,,693016569939,29,,,,,
IR,ALG-429_38,,693016569946,20,,,,,
IR,ALG-429_39,,693016569953,9,,,,,
IR,ALG-429_40,,693016569960,23,,,,,
IR,ALG-429_41,,693016569977,13,,,,,
IR,ALG-429_42,,693016569984,0,,,,,
IR,ALG-429_43,,693016569991,0,,,,,
IR,ALG-434_34,,693016504152,0,,,,,
IR,ALG-434_35,,693016504169,0,,,,,
IR,ALG-434_36,,693016504176,0,,,,,
IR,ALG-434_37,,693016504183,0,,,,,
IR,ALG-434_38,,693016504190,0,,,,,
IR,ALG-434_39,,693016504206,0,,,,,
IR,ALG-434_40,,693016504213,0,,,,,
IR,ALG-434_41,,693016504220,0,,,,,
IR,ALG-434_42,,693016504237,0,,,,,
IR,ALG-434_43,,693016504244,0,,,,,
IR,ALG-435_35,,693016609345,0,,,,,
IR,ALG-435_36,,693016609352,0,,,,,
IR,ALG-435_37,,693016609369,0,,,,,
